_id,Año,Intervalo,Hombres,Mujeres,Total
1,1998, 0-4 años,2261,2194,4455
2,1998, 5-9 años,2520,2336,4856
3,1998, 10-14 años,2894,2759,5653
4,1998, 15-19 años,3756,3713,7469
5,1998, 20-24 años,4977,4672,9649
6,1998, 25-29 años,4007,3983,7990
7,1998, 30-34 años,3502,3750,7252
8,1998, 35-39 años,3196,3382,6578
9,1998, 40-44 años,2749,3289,6038
10,1998, 45-49 años,3303,3752,7055
11,1998, 50-54 años,3352,3205,6557
12,1998, 55-59 años,2110,1843,3953
13,1998, 60-64 años,1437,1444,2881
14,1998, 65-69 años,1018,1098,2116
15,1998, 70-74 años,664,893,1557
16,1998, 75-79 años,386,627,1013
17,1998, 80-84 años,193,443,636
18,1998, 85-89 años,93,218,311
19,1998, 90-94 años,33,80,113
20,1998, 95-99 años,4,9,13
21,1998, más de 100 años,0,1,1
22,1998,Total  ,42455,43691,86146
23,1999, 0-4 años,2309,2198,4507
24,1999, 5-9 años,2552,2300,4852
25,1999, 10-14 años,2808,2632,5440
26,1999, 15-19 años,3459,3400,6859
27,1999, 20-24 años,4908,4709,9617
28,1999, 25-29 años,4299,4225,8524
29,1999, 30-34 años,3643,3837,7480
30,1999, 35-39 años,3351,3594,6945
31,1999, 40-44 años,2790,3201,5991
32,1999, 45-49 años,3128,3635,6763
33,1999, 50-54 años,3503,3538,7041
34,1999, 55-59 años,2449,2097,4546
35,1999, 60-64 años,1503,1437,2940
36,1999, 65-69 años,1166,1196,2362
37,1999, 70-74 años,719,949,1668
38,1999, 75-79 años,467,673,1140
39,1999, 80-84 años,213,461,674
40,1999, 85-89 años,119,293,412
41,1999, 90-94 años,40,95,135
42,1999, 95-99 años,5,22,27
43,1999, más de 100 años,0,1,1
44,1999,Total  ,43431,44493,87924
45,2000, 0-4 años,2179,2047,4226
46,2000, 5-9 años,2554,2344,4898
47,2000, 10-14 años,2726,2606,5332
48,2000, 15-19 años,3348,3264,6612
49,2000, 20-24 años,4788,4676,9464
50,2000, 25-29 años,4739,4531,9270
51,2000, 30-34 años,3841,3970,7811
52,2000, 35-39 años,3585,3820,7405
53,2000, 40-44 años,2957,3275,6232
54,2000, 45-49 años,2972,3520,6492
55,2000, 50-54 años,3468,3642,7110
56,2000, 55-59 años,2690,2370,5060
57,2000, 60-64 años,1523,1433,2956
58,2000, 65-69 años,1197,1243,2440
59,2000, 70-74 años,739,989,1728
60,2000, 75-79 años,497,713,1210
61,2000, 80-84 años,238,474,712
62,2000, 85-89 años,124,334,458
63,2000, 90-94 años,38,118,156
64,2000, 95-99 años,13,22,35
65,2000, más de 100 años,2,3,5
66,2000,Total  ,44218,45394,89612
67,2001, 0-4 años,2517,2301,4818
68,2001, 5-9 años,2624,2427,5051
69,2001, 10-14 años,2730,2594,5324
70,2001, 15-19 años,3240,3119,6359
71,2001, 20-24 años,4530,4505,9035
72,2001, 25-29 años,4956,4804,9760
73,2001, 30-34 años,3981,4174,8155
74,2001, 35-39 años,3827,4080,7907
75,2001, 40-44 años,3168,3445,6613
76,2001, 45-49 años,2939,3466,6405
77,2001, 50-54 años,3414,3762,7176
78,2001, 55-59 años,2825,2516,5341
79,2001, 60-64 años,1721,1620,3341
80,2001, 65-69 años,1277,1300,2577
81,2001, 70-74 años,815,1032,1847
82,2001, 75-79 años,532,814,1346
83,2001, 80-84 años,255,477,732
84,2001, 85-89 años,128,383,511
85,2001, 90-94 años,51,136,187
86,2001, 95-99 años,12,34,46
87,2001, más de 100 años,1,5,6
88,2001,Total  ,45543,46994,92537
89,2002, 0-4 años,2599,2395,4994
90,2002, 5-9 años,2684,2549,5233
91,2002, 10-14 años,2757,2540,5297
92,2002, 15-19 años,3189,3034,6223
93,2002, 20-24 años,4337,4250,8587
94,2002, 25-29 años,5128,5033,10161
95,2002, 30-34 años,4236,4373,8609
96,2002, 35-39 años,4024,4353,8377
97,2002, 40-44 años,3327,3565,6892
98,2002, 45-49 años,2896,3547,6443
99,2002, 50-54 años,3379,3778,7157
100,2002, 55-59 años,3059,2833,5892
101,2002, 60-64 años,1868,1696,3564
102,2002, 65-69 años,1340,1385,2725
103,2002, 70-74 años,860,1054,1914
104,2002, 75-79 años,573,846,1419
105,2002, 80-84 años,292,518,810
106,2002, 85-89 años,129,402,531
107,2002, 90-94 años,55,158,213
108,2002, 95-99 años,15,39,54
109,2002, más de 100 años,1,8,9
110,2002,Total  ,46748,48356,95104
111,2003, 0-4 años,2771,2545,5316
112,2003, 5-9 años,2738,2597,5335
113,2003, 10-14 años,2840,2613,5453
114,2003, 15-19 años,3160,3063,6223
115,2003, 20-24 años,4181,4220,8401
116,2003, 25-29 años,5284,5119,10403
117,2003, 30-34 años,4441,4640,9081
118,2003, 35-39 años,4142,4482,8624
119,2003, 40-44 años,3632,3817,7449
120,2003, 45-49 años,2954,3546,6500
121,2003, 50-54 años,3370,3825,7195
122,2003, 55-59 años,3277,3207,6484
123,2003, 60-64 años,2058,1836,3894
124,2003, 65-69 años,1375,1436,2811
125,2003, 70-74 años,951,1122,2073
126,2003, 75-79 años,606,866,1472
127,2003, 80-84 años,324,574,898
128,2003, 85-89 años,135,393,528
129,2003, 90-94 años,60,158,218
130,2003, 95-99 años,17,36,53
131,2003, más de 100 años,1,5,6
132,2003,Total  ,48317,50100,98417
133,2004, 0-4 años,3107,2765,5872
134,2004, 5-9 años,2828,2675,5503
135,2004, 10-14 años,2856,2684,5540
136,2004, 15-19 años,3038,2931,5969
137,2004, 20-24 años,3860,3943,7803
138,2004, 25-29 años,5349,5308,10657
139,2004, 30-34 años,4770,4778,9548
140,2004, 35-39 años,4260,4581,8841
141,2004, 40-44 años,3747,4051,7798
142,2004, 45-49 años,3022,3483,6505
143,2004, 50-54 años,3104,3646,6750
144,2004, 55-59 años,3368,3470,6838
145,2004, 60-64 años,2266,2048,4314
146,2004, 65-69 años,1383,1419,2802
147,2004, 70-74 años,1021,1198,2219
148,2004, 75-79 años,597,913,1510
149,2004, 80-84 años,376,619,995
150,2004, 85-89 años,127,393,520
151,2004, 90-94 años,59,207,266
152,2004, 95-99 años,12,39,51
153,2004, más de 100 años,2,4,6
154,2004,Total  ,49152,51155,100307
155,2005, 0-4 años,3047,2814,5861
156,2005, 5-9 años,2881,2757,5638
157,2005, 10-14 años,2903,2698,5601
158,2005, 15-19 años,2971,2847,5818
159,2005, 20-24 años,3812,3892,7704
160,2005, 25-29 años,5343,5409,10752
161,2005, 30-34 años,5195,5173,10368
162,2005, 35-39 años,4396,4744,9140
163,2005, 40-44 años,4006,4357,8363
164,2005, 45-49 años,3186,3555,6741
165,2005, 50-54 años,2968,3547,6515
166,2005, 55-59 años,3348,3615,6963
167,2005, 60-64 años,2569,2357,4926
168,2005, 65-69 años,1419,1430,2849
169,2005, 70-74 años,1079,1234,2313
170,2005, 75-79 años,665,981,1646
171,2005, 80-84 años,393,661,1054
172,2005, 85-89 años,140,404,544
173,2005, 90-94 años,60,230,290
174,2005, 95-99 años,5,53,58
175,2005, más de 100 años,2,3,5
176,2005,Total  ,50388,52761,103149
177,2006, 0-4 años,3261,3086,6347
178,2006, 5-9 años,2926,2726,5652
179,2006, 10-14 años,2869,2723,5592
180,2006, 15-19 años,2895,2801,5696
181,2006, 20-24 años,3657,3659,7316
182,2006, 25-29 años,5027,5182,10209
183,2006, 30-34 años,5426,5374,10800
184,2006, 35-39 años,4444,4817,9261
185,2006, 40-44 años,4181,4486,8667
186,2006, 45-49 años,3267,3629,6896
187,2006, 50-54 años,2879,3490,6369
188,2006, 55-59 años,3276,3682,6958
189,2006, 60-64 años,2644,2421,5065
190,2006, 65-69 años,1575,1592,3167
191,2006, 70-74 años,1147,1245,2392
192,2006, 75-79 años,713,986,1699
193,2006, 80-84 años,391,737,1128
194,2006, 85-89 años,151,394,545
195,2006, 90-94 años,50,240,290
196,2006, 95-99 años,11,54,65
197,2006, más de 100 años,1,3,4
198,2006,Total  ,50791,53327,104118
199,2007, 0-4 años,3289,3010,6299
200,2007, 5-9 años,2966,2741,5707
201,2007, 10-14 años,2909,2820,5729
202,2007, 15-19 años,2876,2764,5640
203,2007, 20-24 años,3585,3642,7227
204,2007, 25-29 años,4936,4930,9866
205,2007, 30-34 años,5552,5708,11260
206,2007, 35-39 años,4694,5013,9707
207,2007, 40-44 años,4343,4737,9080
208,2007, 45-49 años,3416,3689,7105
209,2007, 50-54 años,2848,3534,6382
210,2007, 55-59 años,3126,3616,6742
211,2007, 60-64 años,2775,2718,5493
212,2007, 65-69 años,1669,1651,3320
213,2007, 70-74 años,1183,1304,2487
214,2007, 75-79 años,742,1010,1752
215,2007, 80-84 años,431,752,1183
216,2007, 85-89 años,179,423,602
217,2007, 90-94 años,59,237,296
218,2007, 95-99 años,13,55,68
219,2007, más de 100 años,2,4,6
220,2007,Total  ,51593,54358,105951
221,2008, 0-4 años,3120,2875,5995
222,2008, 5-9 años,3061,2841,5902
223,2008, 10-14 años,2908,2889,5797
224,2008, 15-19 años,2942,2801,5743
225,2008, 20-24 años,3603,3588,7191
226,2008, 25-29 años,4645,4775,9420
227,2008, 30-34 años,5581,5589,11170
228,2008, 35-39 años,4808,5173,9981
229,2008, 40-44 años,4424,4857,9281
230,2008, 45-49 años,3648,3866,7514
231,2008, 50-54 años,2867,3481,6348
232,2008, 55-59 años,3150,3664,6814
233,2008, 60-64 años,2999,3031,6030
234,2008, 65-69 años,1827,1767,3594
235,2008, 70-74 años,1249,1361,2610
236,2008, 75-79 años,788,1052,1840
237,2008, 80-84 años,470,769,1239
238,2008, 85-89 años,208,467,675
239,2008, 90-94 años,54,222,276
240,2008, 95-99 años,14,69,83
241,2008, más de 100 años,3,8,11
242,2008,Total  ,52369,55145,107514
243,2009, 0-4 años,3194,2927,6121
244,2009, 5-9 años,3195,2909,6104
245,2009, 10-14 años,2895,2898,5793
246,2009, 15-19 años,3045,2820,5865
247,2009, 20-24 años,3501,3519,7020
248,2009, 25-29 años,4425,4589,9014
249,2009, 30-34 años,5477,5474,10951
250,2009, 35-39 años,5017,5279,10296
251,2009, 40-44 años,4467,4956,9423
252,2009, 45-49 años,3834,4156,7990
253,2009, 50-54 años,2998,3472,6470
254,2009, 55-59 años,2956,3537,6493
255,2009, 60-64 años,3135,3309,6444
256,2009, 65-69 años,2052,1978,4030
257,2009, 70-74 años,1272,1359,2631
258,2009, 75-79 años,857,1151,2008
259,2009, 80-84 años,491,820,1311
260,2009, 85-89 años,254,494,748
261,2009, 90-94 años,53,221,274
262,2009, 95-99 años,21,85,106
263,2009, más de 100 años,2,10,12
264,2009,Total  ,53141,55963,109104
265,2010, 0-4 años,3135,2976,6111
266,2010, 5-9 años,3318,3011,6329
267,2010, 10-14 años,2914,2864,5778
268,2010, 15-19 años,3022,2853,5875
269,2010, 20-24 años,3315,3346,6661
270,2010, 25-29 años,4292,4482,8774
271,2010, 30-34 años,5222,5380,10602
272,2010, 35-39 años,5180,5441,10621
273,2010, 40-44 años,4499,4982,9481
274,2010, 45-49 años,4020,4417,8437
275,2010, 50-54 años,3146,3527,6673
276,2010, 55-59 años,2850,3430,6280
277,2010, 60-64 años,3103,3439,6542
278,2010, 65-69 años,2322,2235,4557
279,2010, 70-74 años,1276,1362,2638
280,2010, 75-79 años,931,1182,2113
281,2010, 80-84 años,517,857,1374
282,2010, 85-89 años,266,537,803
283,2010, 90-94 años,67,237,304
284,2010, 95-99 años,24,83,107
285,2010, más de 100 años,2,18,20
286,2010,Total  ,53421,56659,110080
287,2011, 0-4 años,3136,2957,6093
288,2011, 5-9 años,3260,2989,6249
289,2011, 10-14 años,2967,2832,5799
290,2011, 15-19 años,2922,2803,5725
291,2011, 20-24 años,3194,3179,6373
292,2011, 25-29 años,4138,4264,8402
293,2011, 30-34 años,5014,5211,10225
294,2011, 35-39 años,5219,5463,10682
295,2011, 40-44 años,4476,5006,9482
296,2011, 45-49 años,4093,4502,8595
297,2011, 50-54 años,3198,3576,6774
298,2011, 55-59 años,2746,3392,6138
299,2011, 60-64 años,3050,3498,6548
